PLAYER NAME,TEAM,POSITION,CUSHION(YDS),SEPARATION(YDS),AVERAGE_TARGETED_AIR_YARDS,%_SHARE_OF_TEAM'S_AIR_YARDS,RECEPTIONS,TARGETS,CATCH%,TOTAL_YARDS,TOUCHDOWNS,YAC/R,xYAC/R,+/-
Ja'Marr Chase,CIN,WR,5.7,3.2,9.3,31.35,66,87,75.86,981,10,7,4,2.9
Justin Jefferson,MIN,WR,5.5,3,12,41.88,53,78,67.95,831,5,4.8,4.7,0
Terry McLaurin,WAS,WR,6.1,2.7,15,43.91,47,66,71.21,711,6,3.8,3,0.9
Garrett Wilson,NYJ,WR,5.1,3.2,8.8,38.12,65,100,65,704,5,5.1,4.7,0.4
Zay Flowers,BAL,WR,7.3,4.2,9.3,28.98,50,73,68.49,688,3,6.8,5.3,1.5
Darnell Mooney,ATL,WR,6.4,2.8,12.6,38.63,46,78,58.97,684,5,4.5,4.6,-0.1
CeeDee Lamb,DAL,WR,5.3,2.7,8.7,30.85,59,94,62.77,681,4,5.2,3.3,1.9
Drake London,ATL,WR,6,2.6,9.8,31.57,58,82,70.73,649,6,2.9,2.5,0.4
George Pickens,PIT,WR,5.7,2.4,13.4,45.12,40,65,61.54,639,2,4.2,3.5,0.7
Jayden Reed,GB,WR,7.5,4.3,8,15.76,36,47,76.6,620,3,8.4,7.2,1.2
Brian Thomas Jr.,JAX,WR,6.8,2.9,11.6,25.57,37,56,66.07,607,5,6.4,5.2,1.3
Malik Nabers,NYG,WR,6.1,2.7,10.4,40.79,61,94,64.89,607,3,3.4,3.3,0
Brock Bowers,LV,TE,6.4,3.8,5.6,21.25,57,73,78.08,580,2,5.4,4.2,1.2
Chris Godwin,TB,WR,6.4,3.2,5.6,16.98,50,62,80.65,576,5,7.3,5,2.3
Courtland Sutton,DEN,WR,6,2.5,13.1,39.59,42,77,54.55,569,3,2.7,3,-0.2
Jaxon Smith-Njigba,SEA,WR,6.6,3.1,10,29.89,50,75,66.67,568,3,5,4.4,0.6
DK Metcalf,SEA,WR,6.3,2.8,13.7,33.24,35,61,57.38,568,3,5.9,5,0.9
Nico Collins,HOU,WR,5.4,3.3,12.8,21.35,32,45,71.11,567,3,6.5,5.3,1.1
George Kittle,SF,TE,5,3.5,8.4,17.45,43,53,81.13,560,7,5.8,3.9,1.9
A.J. Brown,PHI,WR,5.3,2,14.4,30.6,28,41,68.29,553,3,6.3,3,3.3
Trey McBride,ARI,TE,5.8,3.6,7.7,24.79,49,65,75.38,552,0,4.5,3.5,0.9
Khalil Shakir,BUF,WR,6.8,4.5,3.3,8.28,48,54,88.89,529,2,8.7,6.9,1.8
Amon-Ra St. Brown,DET,WR,7,3.1,7.1,28.49,54,67,80.6,524,7,3.2,3.1,0.1
Alec Pierce,IND,WR,5.7,2.8,21.4,28.31,23,40,57.5,516,4,4,3.1,1
Rashod Bateman,BAL,WR,5.9,3.5,14,27.97,31,47,65.96,501,4,4.1,3.9,0.2
Travis Kelce,KC,TE,6.1,3.4,6.5,29.73,60,76,78.95,499,2,3.5,4,-0.6
Marvin Harrison,ARI,WR,4.8,1.9,13.8,40.68,33,60,55,499,6,2.3,2,0.3
Ladd McConkey,LAC,WR,6,2.9,9.8,28.74,37,54,68.52,498,4,5.5,3.6,1.9
Jauan Jennings,SF,WR,5.4,2.5,11.4,21.16,32,47,68.09,497,3,3.6,2.5,1.2
Stefon Diggs,HOU,WR,6.9,3,8.7,20.66,47,64,73.44,496,3,4.1,3.9,0.2
DeVonta Smith,PHI,WR,6.6,2.7,11.2,28.98,37,50,74,487,4,4.4,3.9,0.5
Kyle Pitts,ATL,TE,5.8,3.8,8.4,16.14,34,49,69.39,485,3,6.9,5.6,1.3
Calvin Ridley,TEN,WR,6.1,2.7,15.4,50.3,32,68,47.06,483,3,4.1,4.1,0.1
Josh Downs,IND,WR,6,3.4,6.4,14.03,45,66,68.18,483,3,5,5.2,-0.1
Darius Slayton,NYG,WR,5.1,2.7,12.2,25.4,32,50,64,469,1,3.2,2.5,0.7
Deebo Samuel Sr.,SF,WR,5.5,2.5,8.2,14.59,29,45,64.44,468,1,8.5,5.5,3.1
Tyreek Hill,MIA,WR,5.5,3.2,12.2,41.25,37,60,61.67,462,2,5.5,5.3,0.2
